,LAT,LON,SITE_NAME,YEAR_OBS,MONSOON,POSTMONSOONKHARIF,POSTMONSOONRABI,PREMONSOON
68,28.6125,77.225,India Gate,2012,12.674181034482759,6.11,6.69,13.93764044943821
69,28.61722222,77.2,Presidents Estate-2,2012,12.674181034482759,12.45,11.42,11.82
70,28.59027778,77.21638889,Lodhi Garden.(SH),2012,12.674181034482759,9.75,12.725819672131147,13.93764044943821
71,28.62916667,77.2375,Parsi Dharamsala,2012,12.674181034482759,12.801999999999998,8.7,13.93764044943821
72,28.61472222,77.21194444,Shram Shakti Bhawan-1,2012,12.674181034482759,15.16,13.53,14.85
73,28.615,77.21222222,Shram Shakti Bhawan-2,2012,12.674181034482759,14.37,12.725819672131147,14.22
74,28.61527778,77.2125,Shram Shakti Bhawan-3,2012,12.674181034482759,15.25,13.6,15.01
75,28.63194444,77.19861111,Birla Mandir,2012,12.674181034482759,9.1,7.9,7.3
76,28.60416667,77.175,Mahabir Vansth.,2012,12.674181034482759,25.05,23.0,24.05
77,28.60611111,77.21,Nehru Park,2012,12.674181034482759,21.94,22.09,22.74
78,28.59027778,77.2125,Safdarganj Tomb,2012,12.674181034482759,16.95,15.8,17.35
79,28.59027778,77.21638889,Lodhi Garden (D)-1,2012,12.674181034482759,9.72,8.87,10.3
80,28.61166667,77.19944444,Presidents Estate-1,2012,12.674181034482759,17.9,17.64,18.12
81,28.63277778,77.19583333,Mandir Lane Pz,2011,7.28,8.82,6.0,8.15
82,28.59166667,77.22055556,Lodhi Graden Dw,2011,12.6,12.2,11.4,12.07
83,28.6125,77.225,India Gate,2011,4.64,4.79,6.09,7.89
84,28.61722222,77.2,Presidents Estate-2,2011,11.68,11.35,10.02,10.97
85,28.62416667,77.20138889,Talkatora,2011,12.674181034482759,12.801999999999998,15.9,17.25
86,28.59027778,77.18416667,Shanti Path,2011,12.674181034482759,12.801999999999998,28.4,28.4
87,28.62916667,77.2375,Parsi Dharamsala,2011,10.9,12.0,8.0,9.26
88,28.61472222,77.21194444,Shram Shakti Bhawan-1,2011,12.03,12.45,12.93,13.25
89,28.61527778,77.2125,Shram Shakti Bhawan-3,2011,12.15,13.03,13.5,13.66
90,28.63194444,77.19861111,Birla Mandir,2011,5.55,6.9,4.9,6.3
91,28.60416667,77.175,Mahabir Vansth.,2011,23.5,23.15,23.95,23.25
92,28.60611111,77.21,Nehru Park,2011,22.44,22.44,20.64,21.84
93,28.59027778,77.2125,Safdarganj Tomb,2011,13.45,15.85,12.25,13.77
94,28.59027778,77.21638889,Lodhi Garden (D)-1,2011,9.46,9.1,7.74,9.52
95,28.61166667,77.19944444,Presidents Estate-1,2011,16.65,17.61,14.69,16.52
96,28.63277778,77.19583333,Mandir Lane Pz,2010,7.38,4.0,8.96,10.22
97,28.59166667,77.22055556,Lodhi Graden Dw,2010,14.25,11.99,10.75,44.1
98,28.61166667,77.19944444,Presidents Estate-1,2010,12.674181034482759,14.69,15.96,18.81
99,28.6125,77.225,India Gate,2010,6.32,6.61,5.24,7.49
100,28.61722222,77.2,Presidents Estate-2,2010,12.674181034482759,10.02,10.87,12.28
101,28.61444444,77.24638889,Pragati Maidan,2010,12.674181034482759,12.801999999999998,4.01,4.2
102,28.59027778,77.18416667,Shanti Path,2010,28.4,12.801999999999998,30.0,28.4
103,28.59666667,77.21666667,Aurangzeb Lane RWH,2010,12.674181034482759,12.801999999999998,17.13,15.32
104,28.62916667,77.2375,Parsi Dharamsala,2010,8.7,8.48,8.34,8.82
105,28.61472222,77.21194444,Shram Shakti Bhawan-1,2010,15.55,12.75,17.21,19.1
106,28.615,77.21222222,Shram Shakti Bhawan-2,2010,12.674181034482759,11.36,12.725819672131147,16.2
107,28.61527778,77.2125,Shram Shakti Bhawan-3,2010,6.13,14.0,17.01,18.2
108,28.61666667,77.21388889,Rail Bhavan,2010,12.674181034482759,12.801999999999998,15.34,15.32
109,28.63194444,77.19861111,Birla Mandir,2010,5.95,2.5,3.41,11.45
110,28.60138889,77.225,South Block,2010,12.674181034482759,12.801999999999998,18.73,18.54
111,28.60416667,77.175,Mahabir Vansth.,2010,25.48,24.55,26.44,26.41
112,28.60611111,77.21,Nehru Park,2010,24.44,20.7,23.25,24.74
113,28.59027778,77.2125,Safdarganj Tomb,2010,15.62,12.25,14.07,17.25
114,28.59027778,77.21638889,Lodhi Garden (D)-1,2010,10.58,8.49,9.85,11.2
115,28.63611111,77.20277778,Cannaught place,2010,12.674181034482759,12.801999999999998,18.76,18.7
116,28.63277778,77.19583333,Mandir Lane Pz,2009,10.18,8.2,9.85,10.82
117,28.59166667,77.22055556,Lodhi Graden Dw,2009,13.7,11.21,10.55,11.56
118,28.61166667,77.19944444,Presidents Estate-1,2009,19.12,15.7,15.8,18.78
119,28.6125,77.225,India Gate,2009,4.86,5.09,5.58,6.13
120,28.61722222,77.2,Presidents Estate-2,2009,12.79,10.48,10.3,12.26
121,28.61444444,77.24638889,Pragati Maidan,2009,4.3,3.85,3.82,4.15
122,28.62416667,77.20138889,Talkatora,2009,21.06,20.46,18.8,19.82
123,28.59027778,77.18416667,Shanti Path,2009,28.4,27.73,28.4,26.93
124,28.59666667,77.21666667,Aurangzeb Lane RWH,2009,18.12,17.56,14.88,15.3
125,28.62916667,77.2375,Parsi Dharamsala,2009,8.86,8.11,7.9,8.55
126,28.61472222,77.21194444,Shram Shakti Bhawan-1,2009,17.55,16.79,16.05,17.4
127,28.61527778,77.2125,Shram Shakti Bhawan-3,2009,17.36,16.18,15.71,17.15
128,28.61666667,77.21388889,Rail Bhavan,2009,15.92,14.81,13.89,15.28
129,28.63194444,77.19861111,Birla Mandir,2009,4.82,4.8,5.12,5.76
130,28.60138889,77.225,South Block,2009,18.83,18.39,17.9,18.49
131,28.60416667,77.175,Mahabir Vansth.,2009,25.25,25.9,24.65,25.75
132,28.60611111,77.21,Nehru Park,2009,23.84,23.14,21.79,22.99
133,28.59027778,77.2125,Safdarganj Tomb,2009,19.5,13.78,13.83,16.81
134,28.59027778,77.21638889,Lodhi Garden (D)-1,2009,10.64,9.03,8.55,9.84
135,28.63611111,77.20277778,Cannaught place,2009,18.66,18.11,17.56,18.68
136,28.63277778,77.19583333,Mandir Lane Pz,2008,9.48,9.57,12.725819672131147,10.87
137,28.59166667,77.22055556,Lodhi Graden Dw,2008,12.51,11.99,10.15,12.47
138,28.61166667,77.19944444,Presidents Estate-1,2008,17.37,15.7,12.725819672131147,17.9
139,28.6125,77.225,India Gate,2008,4.37,4.66,12.725819672131147,5.69
140,28.61722222,77.2,Presidents Estate-2,2008,11.54,10.1,12.725819672131147,11.78
141,28.61444444,77.24638889,Pragati Maidan,2008,3.32,3.76,3.39,3.71
142,28.62416667,77.20138889,Talkatora,2008,17.48,18.2,12.725819672131147,17.95
143,28.59027778,77.18416667,Shanti Path,2008,30.0,30.0,12.725819672131147,26.69
144,28.59666667,77.21666667,Aurangzeb Lane RWH,2008,12.85,12.75,12.725819672131147,12.7
145,28.62916667,77.2375,Parsi Dharamsala,2008,7.98,8.05,12.725819672131147,7.4
